TableType,Top25Type,Year,Drug_Category,Payer_Type,Rank,National_Drug_Code,Drug_Name,NumberofPrescriptions,NumberofIndividuals,TotalCost,AverageCostperUnit,AverageDispensedUnitsPerFill,DrugUnitofMeasure,Out-of-Pocket Median,Out-of-Pocket25P,Out-of-Pocket75P,OOPZeroCount
Top 25 W/O Medi-Cal,Cost,2021,Biologic,All Payers W/O Medi-Cal,1.0,74055402.0,Humira (2 Pen),"94,761","12,981","$627,281,620","$2,762.32",2,EA,$60.00,$10.00,$250.00,10.4%
Top 25 W/O Medi-Cal,Cost,2021,Biologic,All Payers W/O Medi-Cal,2.0,57894006103.0,Stelara,"22,138","4,267","$466,350,391","$20,176.10",1,ML,$50.00,$15.00,$142.69,10.1%
Top 25 W/O Medi-Cal,Cost,2021,Biologic,All Payers W/O Medi-Cal,3.0,58406003204.0,Enbrel SureClick,"69,553","9,639","$397,296,007","$1,331.54",4,ML,$50.00,$11.24,$250.00,7.3%
Top 25 W/O Medi-Cal,Cost,2021,Biologic,All Payers W/O Medi-Cal,4.0,74433902.0,Humira (2 Pen),"66,571","8,999","$384,222,243","$2,334.45",2,EA,$30.00,$15.00,$200.00,5.9%
Top 25 W/O Medi-Cal,Cost,2021,Biologic,All Payers W/O Medi-Cal,5.0,78063941.0,Cosentyx Sensoready (300 MG),"56,687","7,992","$290,481,941","$2,302.30",2,ML,$40.00,$17.48,$219.00,6.4%
Top 25 W/O Medi-Cal,Cost,2021,Biologic,All Payers W/O Medi-Cal,6.0,2143480.0,Trulicity,"247,104","48,384","$281,390,577",$418.26,3,ML,$20.00,$1.82,$46.00,12.3%
Top 25 W/O Medi-Cal,Cost,2021,Biologic,All Payers W/O Medi-Cal,7.0,88221905.0,Lantus SoloStar,"521,241","121,801","$269,028,672",$26.71,19,ML,$13.33,$1.50,$33.49,12.6%
Top 25 W/O Medi-Cal,Cost,2021,Biologic,All Payers W/O Medi-Cal,8.0,24591401.0,Dupixent,"62,242","7,832","$200,758,374",$770.86,4,ML,$68.40,$20.00,$250.00,7.2%
Top 25 W/O Medi-Cal,Cost,2021,Biologic,All Payers W/O Medi-Cal,9.0,2143380.0,Trulicity,"166,986","39,082","$178,354,591",$420.60,3,ML,$16.67,$2.00,$45.00,13.4%
Top 25 W/O Medi-Cal,Cost,2021,Biologic,All Payers W/O Medi-Cal,10.0,58406002104.0,Enbrel,"24,878","3,384","$139,933,334","$1,304.21",4,ML,$30.00,$10.00,$200.00,6.7%
Top 25 W/O Medi-Cal,Cost,2021,Biologic,All Payers W/O Medi-Cal,11.0,88222033.0,Lantus,"237,609","61,135","$125,768,934",$20.68,26,ML,$16.67,$3.00,$35.00,12.1%
Top 25 W/O Medi-Cal,Cost,2021,Biologic,All Payers W/O Medi-Cal,12.0,2879959.0,HumaLOG KwikPen,"186,228","53,935","$121,526,229",$25.03,26,ML,$20.00,$3.00,$35.00,10.9%
Top 25 W/O Medi-Cal,Cost,2021,Biologic,All Payers W/O Medi-Cal,13.0,32301613.0,Creon,"70,994","16,492","$117,733,037",$10.83,153,EA,$4.00,$1.00,$29.17,16.9%
Top 25 W/O Medi-Cal,Cost,2021,Biologic,All Payers W/O Medi-Cal,14.0,2751001.0,HumaLOG,"174,178","44,643","$112,087,577",$15.57,41,ML,$20.00,$6.67,$35.00,8.2%
Top 25 W/O Medi-Cal,Cost,2021,Biologic,All Payers W/O Medi-Cal,15.0,74379902.0,Humira (2 Syringe),"19,416","2,692","$110,954,472","$2,312.19",2,EA,$25.00,$10.00,$150.00,6.7%
Top 25 W/O Medi-Cal,Cost,2021,Biologic,All Payers W/O Medi-Cal,16.0,169633910.0,NovoLOG FlexPen,"145,685","39,206","$108,219,971",$37.06,20,ML,$2.67,$0.67,$21.00,19.9%
Top 25 W/O Medi-Cal,Cost,2021,Biologic,All Payers W/O Medi-Cal,17.0,55513071001.0,Prolia,"61,405","39,472","$85,256,540","$1,382.24",1,ML,$0.67,$0.67,$33.33,15.9%
Top 25 W/O Medi-Cal,Cost,2021,Biologic,All Payers W/O Medi-Cal,18.0,57894064011.0,Tremfya,"7,176","1,863","$80,600,743","$10,197.46",1,ML,$45.00,$12.77,$166.67,10.5%
Top 25 W/O Medi-Cal,Cost,2021,Biologic,All Payers W/O Medi-Cal,19.0,58160082311.0,Shingrix,"447,775","340,657","$79,725,786",$177.62,1,EA,$9.20,$0.00,$47.00,36.6%
Top 25 W/O Medi-Cal,Cost,2021,Biologic,All Payers W/O Medi-Cal,20.0,2144511.0,Taltz,"12,428","1,765","$79,132,981","$5,717.70",1,ML,$50.00,$4.00,$250.00,15.0%
Top 25 W/O Medi-Cal,Cost,2021,Biologic,All Payers W/O Medi-Cal,21.0,74024302.0,Humira (2 Syringe),"10,940","1,583","$72,317,497","$2,704.95",2,EA,$37.75,$5.00,$250.00,11.5%
Top 25 W/O Medi-Cal,Cost,2021,Biologic,All Payers W/O Medi-Cal,22.0,24591502.0,Dupixent,"21,856","4,065","$71,137,211",$756.05,4,ML,$60.00,$20.00,$250.00,10.1%
Top 25 W/O Medi-Cal,Cost,2021,Biologic,All Payers W/O Medi-Cal,23.0,72511076002.0,Repatha SureClick,"117,875","17,398","$70,906,777",$240.27,3,ML,$46.32,$16.00,$90.00,5.8%
