TableType,Top25Type,Year,Drug_Category,Payer_Type,Rank,National_Drug_Code,Drug_Name,NumberofPrescriptions,NumberofIndividuals,TotalCost,AverageCostperUnit,AverageDispensedUnitsPerFill,DrugUnitofMeasure,Out-of-Pocket Median,Out-of-Pocket25P,Out-of-Pocket75P,OOPZeroCount
Top 25 W/O Medi-Cal,Freq,2021,Biologic,All Payers W/O Medi-Cal,1.0,88221905.0,Lantus SoloStar,"521,241","121,801","$269,028,672",$26.71,19,ML,$13.33,$1.50,$33.49,12.6%
Top 25 W/O Medi-Cal,Freq,2021,Biologic,All Payers W/O Medi-Cal,2.0,58160082311.0,Shingrix,"447,775","340,657","$79,725,786",$177.62,1,EA,$9.20,$0.00,$47.00,36.6%
Top 25 W/O Medi-Cal,Freq,2021,Biologic,All Payers W/O Medi-Cal,3.0,2831501.0,HumuLIN N,"294,640","96,749","$60,101,255",$3.84,53,ML,$6.67,$3.33,$10.00,3.9%
Top 25 W/O Medi-Cal,Freq,2021,Biologic,All Payers W/O Medi-Cal,4.0,2143480.0,Trulicity,"247,104","48,384","$281,390,577",$418.26,3,ML,$20.00,$1.82,$46.00,12.3%
Top 25 W/O Medi-Cal,Freq,2021,Biologic,All Payers W/O Medi-Cal,5.0,88222033.0,Lantus,"237,609","61,135","$125,768,934",$20.68,26,ML,$16.67,$3.00,$35.00,12.1%
Top 25 W/O Medi-Cal,Freq,2021,Biologic,All Payers W/O Medi-Cal,6.0,2879959.0,HumaLOG KwikPen,"186,228","53,935","$121,526,229",$25.03,26,ML,$20.00,$3.00,$35.00,10.9%
Top 25 W/O Medi-Cal,Freq,2021,Biologic,All Payers W/O Medi-Cal,7.0,2771559.0,Basaglar KwikPen,"181,542","47,749","$66,729,294",$21.85,17,ML,$2.00,$0.53,$9.20,18.2%
Top 25 W/O Medi-Cal,Freq,2021,Biologic,All Payers W/O Medi-Cal,8.0,2751001.0,HumaLOG,"174,178","44,643","$112,087,577",$15.57,41,ML,$20.00,$6.67,$35.00,8.2%
Top 25 W/O Medi-Cal,Freq,2021,Biologic,All Payers W/O Medi-Cal,9.0,2143380.0,Trulicity,"166,986","39,082","$178,354,591",$420.60,3,ML,$16.67,$2.00,$45.00,13.4%
Top 25 W/O Medi-Cal,Freq,2021,Biologic,All Payers W/O Medi-Cal,10.0,169633910.0,NovoLOG FlexPen,"145,685","39,206","$108,219,971",$37.06,20,ML,$2.67,$0.67,$21.00,19.9%
Top 25 W/O Medi-Cal,Freq,2021,Biologic,All Payers W/O Medi-Cal,11.0,2880559.0,HumuLIN N KwikPen,"129,506","43,108","$32,313,271",$6.10,41,ML,$8.33,$3.50,$13.33,4.4%
Top 25 W/O Medi-Cal,Freq,2021,Biologic,All Payers W/O Medi-Cal,12.0,2821501.0,HumuLIN R,"128,072","44,062","$21,813,012",$4.30,40,ML,$6.67,$3.33,$10.00,8.5%
Top 25 W/O Medi-Cal,Freq,2021,Biologic,All Payers W/O Medi-Cal,13.0,72511076002.0,Repatha SureClick,"117,875","17,398","$70,906,777",$240.27,3,ML,$46.32,$16.00,$90.00,5.8%
Top 25 W/O Medi-Cal,Freq,2021,Biologic,All Payers W/O Medi-Cal,14.0,169643810.0,Levemir FlexTouch,"97,085","21,973","$60,823,434",$30.80,20,ML,$10.00,$1.33,$35.00,13.9%
Top 25 W/O Medi-Cal,Freq,2021,Biologic,All Payers W/O Medi-Cal,15.0,74055402.0,Humira (2 Pen),"94,761","12,981","$627,281,620","$2,762.32",2,EA,$60.00,$10.00,$250.00,10.4%
Top 25 W/O Medi-Cal,Freq,2021,Biologic,All Payers W/O Medi-Cal,16.0,58160084252.0,Boostrix,"93,134","91,707","$5,302,189",$104.96,1,ML,$0.00,$0.00,$37.50,51.9%
Top 25 W/O Medi-Cal,Freq,2021,Biologic,All Payers W/O Medi-Cal,17.0,24586903.0,Toujeo SoloStar,"78,605","16,748","$48,974,267",$85.57,7,ML,$18.67,$2.00,$35.00,10.3%
Top 25 W/O Medi-Cal,Freq,2021,Biologic,All Payers W/O Medi-Cal,18.0,32301613.0,Creon,"70,994","16,492","$117,733,037",$10.83,153,EA,$4.00,$1.00,$29.17,16.9%
Top 25 W/O Medi-Cal,Freq,2021,Biologic,All Payers W/O Medi-Cal,19.0,58406003204.0,Enbrel SureClick,"69,553","9,639","$397,296,007","$1,331.54",4,ML,$50.00,$11.24,$250.00,7.3%
Top 25 W/O Medi-Cal,Freq,2021,Biologic,All Payers W/O Medi-Cal,20.0,169266015.0,Tresiba FlexTouch,"68,158","16,817","$38,914,299",$33.69,17,ML,$17.33,$1.33,$35.00,11.1%
Top 25 W/O Medi-Cal,Freq,2021,Biologic,All Payers W/O Medi-Cal,21.0,169750111.0,NovoLOG,"66,811","15,445","$51,795,079",$27.74,28,ML,$4.00,$0.40,$30.00,23.5%
Top 25 W/O Medi-Cal,Freq,2021,Biologic,All Payers W/O Medi-Cal,22.0,74433902.0,Humira (2 Pen),"66,571","8,999","$384,222,243","$2,334.45",2,EA,$30.00,$15.00,$200.00,5.9%
Top 25 W/O Medi-Cal,Freq,2021,Biologic,All Payers W/O Medi-Cal,23.0,24591401.0,Dupixent,"62,242","7,832","$200,758,374",$770.86,4,ML,$68.40,$20.00,$250.00,7.2%
Top 25 W/O Medi-Cal,Freq,2021,Biologic,All Payers W/O Medi-Cal,24.0,55513071001.0,Prolia,"61,405","39,472","$85,256,540","$1,382.24",1,ML,$0.67,$0.67,$33.33,15.9%
Top 25 W/O Medi-Cal,Freq,2021,Biologic,All Payers W/O Medi-Cal,25.0,2871501.0,HumuLIN 70/30,"60,622","16,430","$20,857,508",$5.89,58,ML,$5.34,$2.00,$10.03,13.6%
Top 25 W/O Medi-Cal,Freq,2021,Biosimilar,All Payers W/O Medi-Cal,1.0,61314031810.0,Zarxio,"12,893","4,163","$13,316,024",$275.00,4,ML,$20.00,$9.20,$40.00,14.1%
Top 25 W/O Medi-Cal,Freq,2021,Biosimilar,All Payers W/O Medi-Cal,2.0,61314032610.0,Zarxio,"9,811","3,108","$16,271,507",$278.51,6,ML,$20.00,$10.00,$35.00,14.1%
Top 25 W/O Medi-Cal,Freq,2021,Biosimilar,All Payers W/O Medi-Cal,3.0,69130810.0,Retacrit,"7,646","2,044","$3,021,321",$113.47,3,ML,$11.84,$0.43,$95.00,22.7%
Top 25 W/O Medi-Cal,Freq,2021,Biosimilar,All Payers W/O Medi-Cal,4.0,61314031801.0,Zarxio,"1,849",847,"$2,489,457",$449.43,3,ML,$20.00,$1.30,$100.00,21.1%
Top 25 W/O Medi-Cal,Freq,2021,Biosimilar,All Payers W/O Medi-Cal,5.0,69131110.0,Retacrit,"1,581",529,"$1,049,160",$223.40,3,ML,$16.61,$0.65,$100.00,21.4%
Top 25 W/O Medi-Cal,Freq,2021,Biosimilar,All Payers W/O Medi-Cal,6.0,69130904.0,Retacrit,"1,556",407,"$1,981,996",$450.45,3,ML,$46.61,$0.43,$141.34,22.4%
Top 25 W/O Medi-Cal,Freq,2021,Biosimilar,All Payers W/O Medi-Cal,7.0,67457083306.0,Fulphila,"1,168",356,"$4,001,539","$4,865.98",1,ML,$20.00,$0.65,$118.75,15.7%
Top 25 W/O Medi-Cal,Freq,2021,Biosimilar,All Payers W/O Medi-Cal,8.0,61314032601.0,Zarxio,"1,102",520,"$2,404,308",$431.02,5,ML,$20.00,$0.87,$100.00,21.5%
Top 25 W/O Medi-Cal,Freq,2021,Biosimilar,All Payers W/O Medi-Cal,9.0,69130710.0,Retacrit,868,208,"$138,215",$45.02,4,ML,$1.30,$0.00,$43.86,38.0%
Top 25 W/O Medi-Cal,Freq,2021,Biosimilar,All Payers W/O Medi-Cal,10.0,70114010101.0,Udenyca,447,142,"$2,161,960","$7,046.81",1,ML,$40.83,$0.28,$207.47,21.8%
Top 25 W/O Medi-Cal,Freq,2021,Biosimilar,All Payers W/O Medi-Cal,11.0,49502039475.0,Insulin Glargine-yfgn,419,323,"$30,028",$10.93,7,ML,$0.00,$0.00,$0.00,79.6%
Top 25 W/O Medi-Cal,Freq,2021,Biosimilar,All Payers W/O Medi-Cal,12.0,69080901.0,Inflectra,408,101,"$1,977,896",$954.58,5,EA,$2.00,$0.33,$150.00,18.8%
Top 25 W/O Medi-Cal,Freq,2021,Biosimilar,All Payers W/O Medi-Cal,13.0,63459010310.0,Truxima,379,124,"$3,273,356",$86.01,100,ML,$260.37,$0.42,$550.02,17.7%
Top 25 W/O Medi-Cal,Freq,2021,Biosimilar,All Payers W/O Medi-Cal,14.0,69130610.0,Retacrit,371,89,"$70,313",$34.53,5,ML,$1.30,$0.00,$47.00,42.7%
Top 25 W/O Medi-Cal,Freq,2021,Biosimilar,All Payers W/O Medi-Cal,15.0,61314086601.0,Ziextenzo,227,76,"$983,080","$5,656.39",1,ML,$40.00,$0.00,$153.57,30.3%
Top 25 W/O Medi-Cal,Freq,2021,Biosimilar,All Payers W/O Medi-Cal,16.0,69029101.0,Nivestym,211,69,"$210,594",$355.13,3,ML,$35.00,$3.70,$176.58,21.7%
Top 25 W/O Medi-Cal,Freq,2021,Biosimilar,All Payers W/O Medi-Cal,17.0,55513020601.0,Mvasi,204,54,"$990,284",$180.71,27,ML,$0.79,$0.00,$305.01,40.7%
Top 25 W/O Medi-Cal,Freq,2021,Biosimilar,All Payers W/O Medi-Cal,18.0,69130801.0,Retacrit,172,75,"$64,269",$113.35,3,ML,$45.00,$1.30,$100.00,14.7%
Top 25 W/O Medi-Cal,Freq,2021,Biosimilar,All Payers W/O Medi-Cal,19.0,69029201.0,Nivestym,128,58,"$229,041",$372.55,5,ML,$39.91,$0.00,$172.87,29.3%
Top 25 W/O Medi-Cal,Freq,2021,Biosimilar,All Payers W/O Medi-Cal,20.0,49502039380.0,Insulin Glargine-yfgn,107,84,"$11,754",$10.78,10,ML,$0.00,$0.00,$0.00,86.9%
Top 25 W/O Medi-Cal,Freq,2021,Brand,All Payers W/O Medi-Cal,1.0,53885027210.0,OneTouch Verio,"1,012,982","489,153","$38,231,754",$0.18,209,EA,$0.00,$0.00,$1.76,66.5%
Top 25 W/O Medi-Cal,Freq,2021,Brand,All Payers W/O Medi-Cal,2.0,3089421.0,Eliquis,"983,049","205,818","$760,996,269",$8.40,92,EA,$35.00,$4.00,$75.00,7.4%
Top 25 W/O Medi-Cal,Freq,2021,Brand,All Payers W/O Medi-Cal,3.0,173068220.0,Ventolin HFA,"480,204","210,857","$31,695,671",$3.13,21,GM,$10.00,$3.70,$20.00,8.9%
Top 25 W/O Medi-Cal,Freq,2021,Brand,All Payers W/O Medi-Cal,4.0,54429731.0,Furosemide,"478,410","181,961","$4,594,709",$0.11,86,EA,$1.46,$0.00,$3.33,26.2%
Top 25 W/O Medi-Cal,Freq,2021,Brand,All Payers W/O Medi-Cal,5.0,53885001110.0,OneTouch Delica Plus Lancet30G,"438,314","268,067","$5,898,416",$0.07,193,EA,$0.00,$0.00,$0.68,64.8%
Top 25 W/O Medi-Cal,Freq,2021,Brand,All Payers W/O Medi-Cal,6.0,3089321.0,Eliquis,"376,229","78,351","$266,040,123",$8.46,84,EA,$26.61,$2.84,$68.03,11.0%
Top 25 W/O Medi-Cal,Freq,2021,Brand,All Payers W/O Medi-Cal,7.0,6027731.0,Januvia,"368,888","81,608","$312,269,574",$16.43,52,EA,$13.33,$1.33,$40.00,7.1%
Top 25 W/O Medi-Cal,Freq,2021,Brand,All Payers W/O Medi-Cal,8.0,52937000120.0,Vascepa,"365,054","70,681","$158,568,331",$2.96,147,EA,$2.67,$0.92,$20.00,14.2%
Top 25 W/O Medi-Cal,Freq,2021,Brand,All Payers W/O Medi-Cal,9.0,47781030301.0,Nitrofurantoin Monohyd Macro,"348,625","277,972","$6,051,163",$1.23,14,EA,$7.72,$3.37,$12.00,4.9%
Top 25 W/O Medi-Cal,Freq,2021,Brand,All Payers W/O Medi-Cal,10.0,597015330.0,Jardiance,"328,244","81,439","$274,380,654",$17.47,48,EA,$20.00,$2.29,$41.11,7.5%
Top 25 W/O Medi-Cal,Freq,2021,Brand,All Payers W/O Medi-Cal,11.0,54429931.0,Furosemide,"311,555","110,468","$3,046,768",$0.10,94,EA,$1.00,$0.00,$3.21,30.0%
Top 25 W/O Medi-Cal,Freq,2021,Brand,All Payers W/O Medi-Cal,12.0,50458057930.0,Xarelto,"303,927","69,831","$250,439,977",$16.26,51,EA,$31.58,$4.00,$75.18,6.5%
Top 25 W/O Medi-Cal,Freq,2021,Brand,All Payers W/O Medi-Cal,13.0,49281042150.0,Fluzone Quadrivalent,"291,969","289,133","$8,967,314",$56.19,1,ML,$0.00,$0.00,$0.00,98.6%
Top 25 W/O Medi-Cal,Freq,2021,Brand,All Payers W/O Medi-Cal,14.0,49281012165.0,Fluzone High-Dose Quadrivalent,"259,795","258,577","$17,273,803",$90.64,1,ML,$0.00,$0.00,$65.00,67.3%
Top 25 W/O Medi-Cal,Freq,2021,Brand,All Payers W/O Medi-Cal,15.0,597036055.0,Pradaxa,"253,681","74,467","$158,156,500",$4.28,146,EA,$26.67,$11.67,$38.46,2.4%
