TableType,Top25Type,Year,Drug_Category,Payer_Type,Rank,National_Drug_Code,Drug_Name,NumberofPrescriptions,NumberofIndividuals,TotalCost,AverageCostperUnit,AverageDispensedUnitsPerFill,DrugUnitofMeasure,Out-of-Pocket Median,Out-of-Pocket25P,Out-of-Pocket75P,OOPZeroCount
Top 25 W/O Medi-Cal,Median,2021,Biologic,All Payers W/O Medi-Cal,1.0,66887000301.0,Xiaflex,648,398,"$5,956,867","$5,337.69",2,EA,$383.63,$20.00,"$1,730.16",3.3%
Top 25 W/O Medi-Cal,Median,2021,Biologic,All Payers W/O Medi-Cal,2.0,64208823507.0,Gammaplex,473,96,"$6,758,506",$18.39,777,ML,$370.98,$1.75,$941.32,20.8%
Top 25 W/O Medi-Cal,Median,2021,Biologic,All Payers W/O Medi-Cal,3.0,76125090020.0,Gammaked,326,61,"$5,240,676",$16.01,"1,004",ML,$326.16,$1.14,"$1,120.36",14.8%
Top 25 W/O Medi-Cal,Median,2021,Biologic,All Payers W/O Medi-Cal,4.0,55513019201.0,Neulasta Onpro,837,229,"$5,625,883","$10,206.61",1,ML,$325.19,$4.00,$759.97,12.2%
Top 25 W/O Medi-Cal,Median,2021,Biologic,All Payers W/O Medi-Cal,5.0,2814901.0,Humatrope,675,83,"$5,641,202","$3,249.54",3,EA,$250.00,$40.42,$309.95,1.2%
Top 25 W/O Medi-Cal,Median,2021,Biologic,All Payers W/O Medi-Cal,6.0,50242007601.0,Nutropin AQ NuSpin 20,"3,089",343,"$21,868,764","$1,226.38",6,ML,$250.00,$80.03,$292.26,3.8%
Top 25 W/O Medi-Cal,Median,2021,Biologic,All Payers W/O Medi-Cal,7.0,944270007.0,Gammagard,"1,385",186,"$16,544,116",$14.89,802,ML,$225.41,$0.31,$839.35,23.1%
Top 25 W/O Medi-Cal,Median,2021,Biologic,All Payers W/O Medi-Cal,8.0,50242007401.0,Nutropin AQ NuSpin 10,"6,035",656,"$25,167,028",$610.84,7,ML,$224.07,$68.13,$271.43,2.7%
Top 25 W/O Medi-Cal,Median,2021,Biologic,All Payers W/O Medi-Cal,9.0,55513003201.0,Aranesp (Albumin Free),239,58,"$1,135,955","$3,971.87",1,ML,$203.18,$4.25,$413.20,17.2%
Top 25 W/O Medi-Cal,Median,2021,Biologic,All Payers W/O Medi-Cal,10.0,71981002007.0,Oxervate,"1,136",274,"$32,290,926","$1,795.44",16,ML,$200.00,$4.00,"$1,606.01",14.2%
Top 25 W/O Medi-Cal,Median,2021,Biologic,All Payers W/O Medi-Cal,11.0,44087900506.0,Gonal-f RFF,190,76,"$269,227",$119.29,12,EA,$196.63,$20.00,$546.02,1.3%
Top 25 W/O Medi-Cal,Median,2021,Biologic,All Payers W/O Medi-Cal,12.0,57894006002.0,Stelara,184,85,"$3,643,291","$23,132.01",1,ML,$183.33,$25.54,"$1,266.02",9.4%
Top 25 W/O Medi-Cal,Median,2021,Biologic,All Payers W/O Medi-Cal,13.0,49281091501.0,YF-VAX,124,123,"$21,973",$177.92,1,EA,$173.54,$47.00,$173.54,8.9%
Top 25 W/O Medi-Cal,Median,2021,Biologic,All Payers W/O Medi-Cal,14.0,4035009.0,Pegasys,748,114,"$2,962,274",$986.44,4,ML,$150.00,$20.00,$376.79,3.5%
Top 25 W/O Medi-Cal,Median,2021,Biologic,All Payers W/O Medi-Cal,15.0,2814801.0,Humatrope,"1,210",145,"$6,006,156","$1,593.14",3,EA,$150.00,$35.00,$260.00,3.4%
Top 25 W/O Medi-Cal,Median,2021,Biologic,All Payers W/O Medi-Cal,16.0,2144509.0,Taltz,396,280,"$6,176,083","$5,692.24",3,ML,$150.00,$5.00,$250.00,17.1%
Top 25 W/O Medi-Cal,Median,2021,Biologic,All Payers W/O Medi-Cal,17.0,2144527.0,Taltz,782,389,"$8,818,206","$5,771.08",2,ML,$150.00,$0.00,$250.00,25.4%
Top 25 W/O Medi-Cal,Median,2021,Biologic,All Payers W/O Medi-Cal,18.0,169770321.0,Norditropin FlexPro,391,57,"$2,356,590","$1,037.69",6,ML,$150.00,$20.00,$250.00,7.0%
Top 25 W/O Medi-Cal,Median,2021,Biologic,All Payers W/O Medi-Cal,19.0,64208823506.0,Gammaplex,445,87,"$5,874,638",$17.91,737,ML,$149.66,$1.01,$612.84,21.8%
Top 25 W/O Medi-Cal,Median,2021,Biologic,All Payers W/O Medi-Cal,20.0,13533080071.0,Gamunex-C,"1,710",213,"$13,202,857",$12.52,617,ML,$136.26,$2.67,$439.59,15.5%
Top 25 W/O Medi-Cal,Median,2021,Biologic,All Payers W/O Medi-Cal,21.0,2814701.0,Humatrope,543,84,"$1,440,726",$815.81,3,EA,$135.49,$20.00,$253.13,4.8%
Top 25 W/O Medi-Cal,Median,2021,Biologic,All Payers W/O Medi-Cal,22.0,13533080024.0,Gamunex-C,"1,362",204,"$14,309,035",$12.65,830,ML,$133.86,$0.43,$681.12,19.6%
Top 25 W/O Medi-Cal,Median,2021,Biologic,All Payers W/O Medi-Cal,23.0,50242007501.0,Nutropin AQ NuSpin 5,"1,472",165,"$2,980,964",$305.52,7,ML,$129.56,$35.00,$250.00,4.8%
Top 25 W/O Medi-Cal,Median,2021,Biologic,All Payers W/O Medi-Cal,24.0,44206043820.0,Privigen,"1,054",153,"$12,013,858",$14.89,765,ML,$125.15,$0.67,$779.58,17.6%
Top 25 W/O Medi-Cal,Median,2021,Biologic,All Payers W/O Medi-Cal,25.0,67871011104.0,Sucraid,700,150,"$8,146,785",$33.51,347,ML,$114.64,$35.00,$317.45,6.7%
Top 25 W/O Medi-Cal,Median,2021,Biosimilar,All Payers W/O Medi-Cal,1.0,63459010310.0,Truxima,379,124,"$3,273,356",$86.01,100,ML,$260.37,$0.42,$550.02,17.7%
Top 25 W/O Medi-Cal,Median,2021,Biosimilar,All Payers W/O Medi-Cal,2.0,69130904.0,Retacrit,"1,556",407,"$1,981,996",$450.45,3,ML,$46.61,$0.43,$141.34,22.4%
Top 25 W/O Medi-Cal,Median,2021,Biosimilar,All Payers W/O Medi-Cal,3.0,69130801.0,Retacrit,172,75,"$64,269",$113.35,3,ML,$45.00,$1.30,$100.00,14.7%
Top 25 W/O Medi-Cal,Median,2021,Biosimilar,All Payers W/O Medi-Cal,4.0,70114010101.0,Udenyca,447,142,"$2,161,960","$7,046.81",1,ML,$40.83,$0.28,$207.47,21.8%
Top 25 W/O Medi-Cal,Median,2021,Biosimilar,All Payers W/O Medi-Cal,5.0,61314086601.0,Ziextenzo,227,76,"$983,080","$5,656.39",1,ML,$40.00,$0.00,$153.57,30.3%
Top 25 W/O Medi-Cal,Median,2021,Biosimilar,All Payers W/O Medi-Cal,6.0,69029201.0,Nivestym,128,58,"$229,041",$372.55,5,ML,$39.91,$0.00,$172.87,29.3%
Top 25 W/O Medi-Cal,Median,2021,Biosimilar,All Payers W/O Medi-Cal,7.0,69029101.0,Nivestym,211,69,"$210,594",$355.13,3,ML,$35.00,$3.70,$176.58,21.7%
Top 25 W/O Medi-Cal,Median,2021,Biosimilar,All Payers W/O Medi-Cal,8.0,67457083306.0,Fulphila,"1,168",356,"$4,001,539","$4,865.98",1,ML,$20.00,$0.65,$118.75,15.7%
Top 25 W/O Medi-Cal,Median,2021,Biosimilar,All Payers W/O Medi-Cal,9.0,61314031801.0,Zarxio,"1,849",847,"$2,489,457",$449.43,3,ML,$20.00,$1.30,$100.00,21.1%
