TableType,Top25Type,Year,Drug_Category,Payer_Type,Rank,National_Drug_Code,Drug_Name,NumberofPrescriptions,NumberofIndividuals,TotalCost,AverageCostperUnit,AverageDispensedUnitsPerFill,DrugUnitofMeasure,Out-of-Pocket Median,Out-of-Pocket25P,Out-of-Pocket75P,OOPZeroCount
Overall,Median,2021,Biologic,Commercial,,,,"2,180,397","469,874","$3,875,472,291",$36.67,48,,$10.00,$0.00,$30.00,33.9%
Overall,Median,2021,Biologic,Medi-Cal,,,,"294,937","55,594","$997,079,686",$4.18,809,,$0.00,$0.00,$0.00,100.0%
Overall,Median,2021,Biologic,Medicare,,,,"3,376,919","831,682","$3,707,508,377",$31.06,35,,$6.67,$0.89,$42.64,20.2%
Overall,Median,2021,Biologic,All Payers ,,,,"5,852,253","1,348,013","$8,580,060,355",$18.50,79,,$5.50,$0.00,$36.98,28.6%
Overall,Median,2021,Biologic,All Payers W/O Medi-Cal,,,,"5,557,316","1,294,484","$7,582,980,669",$33.69,40,,$8.33,$0.00,$38.17,25.1%
Overall,Median,2021,Biosimilar,Commercial,,,,"20,943","5,872","$28,592,876",$286.24,5,,$20.00,$10.00,$35.00,17.5%
Overall,Median,2021,Biosimilar,Medi-Cal,,,,"1,120",443,"$3,549,880",$628.25,5,,$0.00,$0.00,$0.00,100.0%
Overall,Median,2021,Biosimilar,Medicare,,,,"21,996","6,391","$29,974,324",$224.05,6,,$12.00,$0.43,$100.00,22.9%
Overall,Median,2021,Biosimilar,All Payers ,,,,"44,059","12,648","$62,117,080",$259.55,5,,$20.00,$0.65,$55.10,23.0%
Overall,Median,2021,Biosimilar,All Payers W/O Medi-Cal,,,,"42,939","12,215","$58,567,199",$250.63,5,,$20.00,$1.30,$62.50,20.4%
Overall,Median,2021,Brand,Commercial,,,,"11,190,945","2,966,833","$6,813,332,850",$8.83,69,,$4.45,$0.00,$20.00,35.3%
Overall,Median,2021,Brand,Medi-Cal,,,,"2,252,836","447,135","$2,722,065,585",$1.45,832,,$0.00,$0.00,$0.00,100.0%
Overall,Median,2021,Brand,Medicare,,,,"16,814,938","2,677,204","$12,697,729,964",$8.03,94,,$3.07,$0.00,$27.98,31.7%
Overall,Median,2021,Brand,All Payers ,,,,"30,258,719","6,023,218","$22,233,128,399",$5.26,140,,$2.45,$0.00,$20.00,37.5%
Overall,Median,2021,Brand,All Payers W/O Medi-Cal,,,,"28,005,883","5,614,072","$19,511,062,814",$8.29,84,,$3.33,$0.00,$20.41,33.4%
Overall,Median,2021,Generic,Commercial,,,,"87,505,663","9,488,353","$2,486,638,542",$0.40,71,,$5.00,$1.37,$8.26,18.3%
Overall,Median,2021,Generic,Medi-Cal,,,,"10,596,791","2,602,251","$364,211,275",$0.70,49,,$0.00,$0.00,$0.00,100.0%
Overall,Median,2021,Generic,Medicare,,,,"112,082,297","5,045,665","$3,545,269,019",$0.37,86,,$1.30,$0.00,$5.00,27.8%
Overall,Median,2021,Generic,All Payers ,,,,"210,184,751","16,857,135","$6,396,118,836",$0.39,78,,$2.65,$0.00,$6.07,27.7%
Overall,Median,2021,Generic,All Payers W/O Medi-Cal,,,,"199,587,960","14,416,652","$6,031,907,561",$0.38,79,,$3.00,$0.32,$6.60,23.2%
Overall,Median,2021,All,Commercial,,,,"100,897,948","9,694,232","$13,204,036,559",$1.87,70,,$5.00,$1.02,$9.00,20.3%
Overall,Median,2021,All,Medi-Cal,,,,"13,145,684","2,736,514","$4,086,906,426",$1.55,200,,$0.00,$0.00,$0.00,100.0%
Overall,Median,2021,All,Medicare,,,,"132,296,150","5,120,863","$19,980,481,684",$1.77,85,,$1.30,$0.00,$5.00,28.1%
Overall,Median,2021,All,All Payers ,,,,"246,339,782","17,246,826","$37,271,424,670",$1.77,85,,$2.69,$0.00,$6.67,28.8%
Overall,Median,2021,All,All Payers W/O Medi-Cal,,,,"233,194,098","14,693,066","$33,184,518,243",$1.81,79,,$3.07,$0.14,$7.03,24.3%
Overall,Median,2022,Biologic,Commercial,,,,"2,437,551","590,690","$4,675,961,695",$45.47,42,,$5.00,$0.00,$25.00,43.8%
Overall,Median,2022,Biologic,Medi-Cal,,,,"2,563,862","521,913","$3,904,156,556",$15.59,98,,$0.00,$0.00,$0.00,100.0%
Overall,Median,2022,Biologic,Medicare,,,,"3,533,317","900,086","$4,299,367,745",$36.03,34,,$4.00,$0.45,$40.00,23.3%
Overall,Median,2022,Biologic,All Payers ,,,,"8,534,730","1,988,617","$12,879,485,996",$27.25,55,,$0.00,$0.00,$20.00,51.1%
Overall,Median,2022,Biologic,All Payers W/O Medi-Cal,,,,"5,970,868","1,482,939","$8,975,329,441",$40.40,37,,$4.00,$0.00,$35.00,31.2%
Overall,Median,2022,Biosimilar,Commercial,,,,"34,587","9,199","$32,033,216",$102.30,9,,$20.00,$0.13,$35.00,17.6%
Overall,Median,2022,Biosimilar,Medi-Cal,,,,"63,993","19,105","$47,645,033",$60.07,12,,$0.00,$0.00,$0.00,100.0%
Overall,Median,2022,Biosimilar,Medicare,,,,"37,871","11,360","$38,932,369",$135.68,8,,$1.35,$0.00,$50.00,37.4%
Overall,Median,2022,Biosimilar,All Payers ,,,,"136,451","39,219","$118,610,617",$85.14,10,,$0.00,$0.00,$15.00,60.8%
Overall,Median,2022,Biosimilar,All Payers W/O Medi-Cal,,,,"72,458","20,481","$70,965,585",$118.26,8,,$10.00,$0.00,$35.92,28.1%
Overall,Median,2022,Brand,Commercial,,,,"11,613,453","3,203,527","$7,582,141,814",$10.15,64,,$2.18,$0.00,$20.00,41.1%
