TableType,Top25Type,Year,Drug_Category,Payer_Type,Rank,National_Drug_Code,Drug_Name,NumberofPrescriptions,NumberofIndividuals,TotalCost,AverageCostperUnit,AverageDispensedUnitsPerFill,DrugUnitofMeasure,Out-of-Pocket Median,Out-of-Pocket25P,Out-of-Pocket75P,OOPZeroCount
Top 25 Payer,Cost,2021,Biologic,Commercial,1.0,74055402.0,Humira (2 Pen),"69,658","9,365","$445,696,328","$2,680.00",2,EA,$150.00,$25.00,$250.00,6.2%
Top 25 Payer,Cost,2021,Biologic,Commercial,2.0,57894006103.0,Stelara,"18,066","3,395","$372,614,900","$19,698.40",1,ML,$75.00,$20.00,$147.77,7.5%
Top 25 Payer,Cost,2021,Biologic,Commercial,3.0,74433902.0,Humira (2 Pen),"49,379","6,664","$271,457,925","$2,210.97",2,EA,$40.00,$20.00,$248.06,2.9%
Top 25 Payer,Cost,2021,Biologic,Commercial,4.0,58406003204.0,Enbrel SureClick,"45,531","6,388","$246,227,078","$1,271.29",4,ML,$120.00,$25.00,$250.00,4.1%
Top 25 Payer,Cost,2021,Biologic,Commercial,5.0,78063941.0,Cosentyx Sensoready (300 MG),"44,117","6,163","$216,485,603","$2,196.70",2,ML,$71.43,$20.00,$250.00,3.6%
Top 25 Payer,Cost,2021,Biologic,Commercial,6.0,24591401.0,Dupixent,"46,858","5,755","$147,377,266",$757.34,4,ML,$100.00,$20.00,$250.00,5.8%
Top 25 Payer,Cost,2021,Biologic,Commercial,7.0,2143480.0,Trulicity,"96,251","16,298","$92,370,389",$398.77,2,ML,$30.00,$16.67,$45.00,4.8%
Top 25 Payer,Cost,2021,Biologic,Commercial,8.0,58406002104.0,Enbrel,"14,669","2,032","$78,358,346","$1,237.21",4,ML,$50.00,$20.00,$250.00,3.7%
Top 25 Payer,Cost,2021,Biologic,Commercial,9.0,2751001.0,HumaLOG,"114,344","27,216","$73,770,030",$14.24,45,ML,$20.00,$13.13,$35.00,3.3%
Top 25 Payer,Cost,2021,Biologic,Commercial,10.0,88221905.0,Lantus SoloStar,"146,655","33,613","$70,306,887",$23.41,20,ML,$23.00,$12.48,$40.00,4.2%
