TableType,Top25Type,Year,Drug_Category,Payer_Type,Rank,National_Drug_Code,Drug_Name,NumberofPrescriptions,NumberofIndividuals,TotalCost,AverageCostperUnit,AverageDispensedUnitsPerFill,DrugUnitofMeasure,Out-of-Pocket Median,Out-of-Pocket25P,Out-of-Pocket75P,OOPZeroCount
Top 25 Payer,Freq,2021,Biologic,Commercial,1.0,2831501.0,HumuLIN N,"146,684","50,152","$28,717,930",$3.33,59,ML,$7.50,$3.75,$11.11,2.2%
Top 25 Payer,Freq,2021,Biologic,Commercial,2.0,88221905.0,Lantus SoloStar,"146,655","33,613","$70,306,887",$23.41,20,ML,$23.00,$12.48,$40.00,4.2%
Top 25 Payer,Freq,2021,Biologic,Commercial,3.0,58160082311.0,Shingrix,"137,864","103,787","$23,158,943",$167.95,1,EA,$0.00,$0.00,$0.00,99.2%
Top 25 Payer,Freq,2021,Biologic,Commercial,4.0,2751001.0,HumaLOG,"114,344","27,216","$73,770,030",$14.24,45,ML,$20.00,$13.13,$35.00,3.3%
Top 25 Payer,Freq,2021,Biologic,Commercial,5.0,2143480.0,Trulicity,"96,251","16,298","$92,370,389",$398.77,2,ML,$30.00,$16.67,$45.00,4.8%
Top 25 Payer,Freq,2021,Biologic,Commercial,6.0,2879959.0,HumaLOG KwikPen,"88,363","23,446","$50,680,623",$19.96,29,ML,$25.00,$15.00,$40.00,4.8%
Top 25 Payer,Freq,2021,Biologic,Commercial,7.0,88222033.0,Lantus,"78,440","22,882","$36,952,165",$14.95,32,ML,$20.00,$13.33,$35.00,3.5%
Top 25 Payer,Freq,2021,Biologic,Commercial,8.0,2880559.0,HumuLIN N KwikPen,"76,917","26,438","$17,929,211",$5.09,46,ML,$10.00,$5.00,$15.00,2.6%
Top 25 Payer,Freq,2021,Biologic,Commercial,9.0,74055402.0,Humira (2 Pen),"69,658","9,365","$445,696,328","$2,680.00",2,EA,$150.00,$25.00,$250.00,6.2%
Top 25 Payer,Freq,2021,Biologic,Commercial,10.0,2821501.0,HumuLIN R,"59,499","20,709","$9,308,241",$3.39,46,ML,$6.67,$3.75,$10.00,2.9%
Top 25 Payer,Freq,2021,Biologic,Commercial,11.0,2143380.0,Trulicity,"56,723","11,866","$51,962,270",$400.18,2,ML,$30.00,$20.00,$51.61,5.1%
Top 25 Payer,Freq,2021,Biologic,Commercial,12.0,74433902.0,Humira (2 Pen),"49,379","6,664","$271,457,925","$2,210.97",2,EA,$40.00,$20.00,$248.06,2.9%
Top 25 Payer,Freq,2021,Biologic,Commercial,13.0,24591401.0,Dupixent,"46,858","5,755","$147,377,266",$757.34,4,ML,$100.00,$20.00,$250.00,5.8%
Top 25 Payer,Freq,2021,Biologic,Commercial,14.0,58406003204.0,Enbrel SureClick,"45,531","6,388","$246,227,078","$1,271.29",4,ML,$120.00,$25.00,$250.00,4.1%
Top 25 Payer,Freq,2021,Biologic,Commercial,15.0,2143611.0,Emgality,"44,349","6,826","$28,823,327",$581.02,1,ML,$30.00,$20.00,$55.00,3.2%
Top 25 Payer,Freq,2021,Biologic,Commercial,16.0,78063941.0,Cosentyx Sensoready (300 MG),"44,117","6,163","$216,485,603","$2,196.70",2,ML,$71.43,$20.00,$250.00,3.6%
Top 25 Payer,Freq,2021,Biologic,Commercial,17.0,58160084252.0,Boostrix,"43,442","42,593","$2,354,991",$102.22,1,ML,$0.00,$0.00,$0.00,99.3%
Top 25 Payer,Freq,2021,Biologic,Commercial,18.0,72511076002.0,Repatha SureClick,"39,511","4,670","$19,862,434",$232.67,2,ML,$50.00,$20.00,$100.00,4.7%
Top 25 Payer,Freq,2021,Biologic,Commercial,19.0,2771559.0,Basaglar KwikPen,"29,053","7,623","$10,275,978",$18.54,19,ML,$20.00,$0.23,$40.00,6.2%
Top 25 Payer,Freq,2021,Biologic,Commercial,20.0,55513084301.0,Aimovig,"26,370","3,463","$16,681,051",$607.22,1,ML,$30.00,$20.00,$60.00,4.5%
Top 25 Payer,Freq,2021,Biologic,Commercial,21.0,24586903.0,Toujeo SoloStar,"25,368","4,692","$13,970,414",$82.22,7,ML,$25.00,$15.00,$40.00,3.7%
Top 25 Payer,Freq,2021,Biologic,Commercial,22.0,2880359.0,HumuLIN 70/30 KwikPen,"23,651","7,493","$8,865,549",$5.43,69,ML,$8.37,$4.44,$12.50,2.4%
Top 25 Payer,Freq,2021,Biologic,Commercial,23.0,2223680.0,Trulicity,"23,480","5,260","$22,718,489",$398.16,2,ML,$25.00,$15.00,$40.00,7.8%
Top 25 Payer,Freq,2021,Biologic,Commercial,24.0,169266015.0,Tresiba FlexTouch,"23,333","5,073","$11,664,082",$31.08,16,ML,$30.00,$15.00,$50.00,6.0%
Top 25 Payer,Freq,2021,Biologic,Commercial,25.0,169633910.0,NovoLOG FlexPen,"22,561","5,647","$18,073,567",$32.53,25,ML,$25.00,$13.33,$40.00,3.6%
