TableType,Top25Type,Year,Drug_Category,Payer_Type,Rank,National_Drug_Code,Drug_Name,NumberofPrescriptions,NumberofIndividuals,TotalCost,AverageCostperUnit,AverageDispensedUnitsPerFill,DrugUnitofMeasure,Out-of-Pocket Median,Out-of-Pocket25P,Out-of-Pocket75P,OOPZeroCount
Top 25 Payer,Median,2021,Biologic,Commercial,1.0,2814901.0,Humatrope,609,77,"$5,216,046","$3,239.78",3,EA,$250.00,$50.00,$319.90,1.3%
Top 25 Payer,Median,2021,Biologic,Commercial,2.0,50242007601.0,Nutropin AQ NuSpin 20,"3,043",336,"$21,656,998","$1,225.22",6,ML,$250.00,$85.62,$293.53,3.6%
Top 25 Payer,Median,2021,Biologic,Commercial,3.0,2144527.0,Taltz,521,257,"$5,532,414","$5,571.41",2,ML,$250.00,$50.00,$250.00,10.5%
Top 25 Payer,Median,2021,Biologic,Commercial,4.0,2144509.0,Taltz,281,188,"$4,142,101","$5,515.45",3,ML,$250.00,$50.00,$250.00,5.9%
Top 25 Payer,Median,2021,Biologic,Commercial,5.0,50242007401.0,Nutropin AQ NuSpin 10,"5,803",622,"$24,656,985",$610.22,7,ML,$237.14,$86.39,$271.43,2.4%
Top 25 Payer,Median,2021,Biologic,Commercial,6.0,2772411.0,Taltz,810,117,"$5,325,667","$5,423.29",1,ML,$220.00,$45.00,$250.00,8.5%
Top 25 Payer,Median,2021,Biologic,Commercial,7.0,44087000607.0,Serostim,667,69,"$11,557,071",$582.10,30,EA,$219.82,$113.64,$250.00,5.8%
Top 25 Payer,Median,2021,Biologic,Commercial,8.0,187000402.0,Siliq,484,54,"$1,934,642","$1,292.35",3,ML,$206.87,$50.00,$267.66,0.0%
Top 25 Payer,Median,2021,Biologic,Commercial,9.0,44087900506.0,Gonal-f RFF,190,76,"$269,227",$119.29,12,EA,$196.63,$20.00,$546.02,1.3%
Top 25 Payer,Median,2021,Biologic,Commercial,10.0,49281091501.0,YF-VAX,65,65,"$11,068",$170.28,1,EA,$173.54,$173.54,$173.54,7.7%
Top 25 Payer,Median,2021,Biologic,Commercial,11.0,2814801.0,Humatrope,"1,057",125,"$5,594,120","$1,585.19",3,EA,$150.00,$40.00,$260.00,4.0%
Top 25 Payer,Median,2021,Biologic,Commercial,12.0,44087334401.0,Rebif Rebidose,658,81,"$5,628,069","$1,397.93",6,ML,$150.00,$25.00,$257.69,12.3%
Top 25 Payer,Median,2021,Biologic,Commercial,13.0,74055402.0,Humira (2 Pen),"69,658","9,365","$445,696,328","$2,680.00",2,EA,$150.00,$25.00,$250.00,6.2%
