TableType,Top25Type,Year,Drug_Category,Payer_Type,Rank,National_Drug_Code,Drug_Name,NumberofPrescriptions,NumberofIndividuals,TotalCost,AverageCostperUnit,AverageDispensedUnitsPerFill,DrugUnitofMeasure,Out-of-Pocket Median,Out-of-Pocket25P,Out-of-Pocket75P,OOPZeroCount
Top 25 List Overall,Freq,2021,Biologic,All Payers ,1.0,88221905.0,Lantus SoloStar,"552,731","131,318","$283,095,982",$26.76,19,ML,$10.00,$1.33,$31.50,18.9%
Top 25 List Overall,Freq,2021,Biologic,All Payers ,2.0,58160082311.0,Shingrix,"450,363","342,827","$80,175,227",$177.60,1,EA,$9.20,$0.00,$47.00,37.0%
Top 25 List Overall,Freq,2021,Biologic,All Payers ,3.0,2831501.0,HumuLIN N,"301,369","98,977","$61,651,560",$3.91,52,ML,$6.67,$3.33,$10.00,6.1%
Top 25 List Overall,Freq,2021,Biologic,All Payers ,4.0,88222033.0,Lantus,"283,200","72,425","$147,240,425",$21.48,24,ML,$10.00,$0.00,$31.33,25.8%
Top 25 List Overall,Freq,2021,Biologic,All Payers ,5.0,2143480.0,Trulicity,"251,337","49,617","$285,686,243",$418.17,3,ML,$17.50,$1.33,$45.00,14.4%
Top 25 List Overall,Freq,2021,Biologic,All Payers ,6.0,2879959.0,HumaLOG KwikPen,"199,924","57,886","$132,602,411",$25.55,26,ML,$16.67,$1.67,$35.00,17.0%
Top 25 List Overall,Freq,2021,Biologic,All Payers ,7.0,2771559.0,Basaglar KwikPen,"198,820","54,350","$72,220,593",$21.85,17,ML,$1.33,$0.00,$4.00,28.1%
Top 25 List Overall,Freq,2021,Biologic,All Payers ,8.0,2751001.0,HumaLOG,"195,682","50,054","$125,811,496",$16.29,39,ML,$16.67,$2.67,$31.67,18.1%
Top 25 List Overall,Freq,2021,Biologic,All Payers ,9.0,2143380.0,Trulicity,"172,647","41,006","$183,890,224",$420.39,3,ML,$13.33,$1.33,$43.00,17.4%
Top 25 List Overall,Freq,2021,Biologic,All Payers ,10.0,169633910.0,NovoLOG FlexPen,"150,524","40,728","$111,802,069",$37.05,20,ML,$2.29,$0.33,$20.00,22.9%
Top 25 List Overall,Freq,2021,Biologic,All Payers ,11.0,2821501.0,HumuLIN R,"131,429","45,172","$22,521,969",$4.40,39,ML,$5.33,$3.00,$10.00,10.8%
Top 25 List Overall,Freq,2021,Biologic,All Payers ,12.0,2880559.0,HumuLIN N KwikPen,"129,635","43,157","$32,380,577",$6.11,41,ML,$8.33,$3.33,$13.33,4.5%
Top 25 List Overall,Freq,2021,Biologic,All Payers ,13.0,72511076002.0,Repatha SureClick,"118,013","17,421","$70,975,078",$240.27,3,ML,$46.21,$15.56,$89.95,6.0%
Top 25 List Overall,Freq,2021,Biologic,All Payers ,14.0,169643810.0,Levemir FlexTouch,"100,204","23,164","$62,340,334",$30.79,20,ML,$4.99,$1.00,$35.00,18.4%
Top 25 List Overall,Freq,2021,Biologic,All Payers ,15.0,74055402.0,Humira (2 Pen),"98,904","13,579","$658,455,118","$2,767.33",2,EA,$47.99,$5.00,$250.00,14.3%
Top 25 List Overall,Freq,2021,Biologic,All Payers ,16.0,58160084252.0,Boostrix,"96,998","95,541","$5,506,597",$104.98,1,ML,$0.00,$0.00,$37.00,53.9%
Top 25 List Overall,Freq,2021,Biologic,All Payers ,17.0,24586903.0,Toujeo SoloStar,"78,809","16,810","$49,155,250",$85.56,7,ML,$18.33,$2.00,$35.00,10.6%
Top 25 List Overall,Freq,2021,Biologic,All Payers ,18.0,169266015.0,Tresiba FlexTouch,"73,876","18,079","$42,457,535",$33.68,17,ML,$13.33,$1.07,$35.00,17.4%
Top 25 List Overall,Freq,2021,Biologic,All Payers ,19.0,32301613.0,Creon,"71,467","16,635","$118,789,055",$10.82,154,EA,$4.00,$1.00,$28.00,17.6%
Top 25 List Overall,Freq,2021,Biologic,All Payers ,20.0,169750111.0,NovoLOG,"71,151","16,500","$54,933,468",$27.78,28,ML,$4.00,$0.00,$25.10,28.4%
Top 25 List Overall,Freq,2021,Biologic,All Payers ,21.0,58406003204.0,Enbrel SureClick,"70,151","9,754","$400,942,148","$1,332.09",4,ML,$50.00,$10.00,$250.00,8.4%
Top 25 List Overall,Freq,2021,Biologic,All Payers ,22.0,74433902.0,Humira (2 Pen),"66,878","9,062","$386,458,748","$2,336.77",2,EA,$30.00,$13.75,$200.00,6.5%
Top 25 List Overall,Freq,2021,Biologic,All Payers ,23.0,2822259.0,Insulin Lispro (1 Unit Dial),"62,886","19,367","$18,469,632",$17.87,16,ML,$4.00,$0.00,$23.50,34.3%
Top 25 List Overall,Freq,2021,Biologic,All Payers ,24.0,24591401.0,Dupixent,"62,616","7,898","$201,922,116",$770.87,4,ML,$65.00,$20.00,$250.00,7.9%
Top 25 List Overall,Freq,2021,Biologic,All Payers ,25.0,2871501.0,HumuLIN 70/30,"62,536","17,004","$21,478,506",$5.99,57,ML,$5.00,$1.67,$10.00,16.5%
