TableType,Top25Type,Year,Drug_Category,Payer_Type,Rank,National_Drug_Code,Drug_Name,NumberofPrescriptions,NumberofIndividuals,TotalCost,AverageCostperUnit,AverageDispensedUnitsPerFill,DrugUnitofMeasure,Out-of-Pocket Median,Out-of-Pocket25P,Out-of-Pocket75P,OOPZeroCount
Top 25 List Overall,Median,2021,Biologic,All Payers ,1.0,66887000301.0,Xiaflex,648,398,"$5,956,867","$5,337.69",2,EA,$383.63,$20.00,"$1,730.16",3.3%
Top 25 List Overall,Median,2021,Biologic,All Payers ,2.0,55513019201.0,Neulasta Onpro,845,233,"$5,700,739","$10,209.06",1,ML,$317.78,$4.00,$757.55,13.7%
Top 25 List Overall,Median,2021,Biologic,All Payers ,3.0,64208823507.0,Gammaplex,485,100,"$6,896,113",$18.39,773,ML,$312.90,$0.68,$898.80,24.0%
Top 25 List Overall,Median,2021,Biologic,All Payers ,4.0,76125090020.0,Gammaked,335,63,"$5,296,613",$16.01,988,ML,$310.84,$0.58,"$1,107.34",17.5%
Top 25 List Overall,Median,2021,Biologic,All Payers ,5.0,55513003201.0,Aranesp (Albumin Free),239,58,"$1,135,955","$3,971.87",1,ML,$203.18,$4.25,$413.20,17.2%
Top 25 List Overall,Median,2021,Biologic,All Payers ,6.0,71981002007.0,Oxervate,"1,136",274,"$32,290,926","$1,795.44",16,ML,$200.00,$4.00,"$1,606.01",14.2%
Top 25 List Overall,Median,2021,Biologic,All Payers ,7.0,50242007601.0,Nutropin AQ NuSpin 20,"3,557",424,"$26,039,956","$1,232.02",6,ML,$200.00,$10.00,$271.43,22.2%
Top 25 List Overall,Median,2021,Biologic,All Payers ,8.0,44087900506.0,Gonal-f RFF,190,76,"$269,227",$119.29,12,EA,$196.63,$20.00,$546.02,1.3%
Top 25 List Overall,Median,2021,Biologic,All Payers ,9.0,49281091501.0,YF-VAX,124,123,"$21,973",$177.92,1,EA,$173.54,$47.00,$173.54,8.9%
Top 25 List Overall,Median,2021,Biologic,All Payers ,10.0,4035009.0,Pegasys,752,115,"$2,976,622",$986.62,4,ML,$150.00,$20.00,$375.26,4.3%
