TableType,Top25Type,Year,Drug_Category,Payer_Type,Rank,National_Drug_Code,Drug_Name,NumberofPrescriptions,NumberofIndividuals,TotalCost,AverageCostperUnit,AverageDispensedUnitsPerFill,DrugUnitofMeasure,Out-of-Pocket Median,Out-of-Pocket25P,Out-of-Pocket75P,OOPZeroCount
Top 25 Totals,Cost,2021,Biologic,Commercial,,,,"1,131,250","196,877","2,662,677,437",114,21,,$20.00,$10.00,$45.83,4.0%
Top 25 Totals,Cost,2021,Biologic,Medi-Cal,,,,"168,165","33,040","442,778,935",8,317,,$0.00,$0.00,$0.00,100.0%
Top 25 Totals,Cost,2021,Biologic,Medicare,,,,"2,042,108","537,388","2,123,979,014",55,19,,$12.00,$1.33,$47.00,14.3%
Top 25 Totals,Cost,2021,Biologic,All Payers ,,,,"3,184,360","804,720","4,789,354,693",94,16,,$10.00,$0.02,$42.00,25.0%
Top 25 Totals,Cost,2021,Biologic,All Payers W/O Medi-Cal,,,,"3,082,896","773,985","4,600,747,829",95,16,,$9.20,$0.86,$37.00,21.0%
Top 25 Totals,Cost,2021,Biosimilar,Commercial,,,,"20,077","5,642","26,906,561",290,5,,$20.00,$10.00,$35.00,16.9%
Top 25 Totals,Cost,2021,Biosimilar,Medi-Cal,,,,669,268,"2,426,806",998,4,,$0.00,$0.00,$0.00,100.0%
Top 25 Totals,Cost,2021,Biosimilar,Medicare,,,,"20,673","6,108","26,230,823",228,6,,$12.00,$0.57,$100.00,22.2%
Top 25 Totals,Cost,2021,Biosimilar,All Payers ,,,,"42,733","12,367","58,352,124",268,5,,$20.00,$0.78,$55.79,22.5%
Top 25 Totals,Cost,2021,Biosimilar,All Payers W/O Medi-Cal,,,,"41,547","11,922","54,676,102",259,5,,$20.00,$1.30,$62.98,19.8%
Top 25 Totals,Cost,2021,Brand,Commercial,,,,"1,138,505","205,537","2,331,156,280",45,46,,$25.00,$15.00,$47.50,5.4%
Top 25 Totals,Cost,2021,Brand,Medi-Cal,,,,"758,488","113,164","1,706,942,012",68,33,,$0.00,$0.00,$0.00,100.0%
Top 25 Totals,Cost,2021,Brand,Medicare,,,,"3,590,932","714,241","4,108,893,906",15,77,,$16.67,$1.33,$47.00,9.8%
Top 25 Totals,Cost,2021,Brand,All Payers ,,,,"4,612,793","895,943","7,057,474,610",21,72,,$20.00,$1.33,$47.00,14.2%
Top 25 Totals,Cost,2021,Brand,All Payers W/O Medi-Cal,,,,"4,539,634","880,494","6,102,811,256",18,74,,$20.00,$2.33,$49.03,8.9%
Top 25 Totals,Cost,2021,Generic,Commercial,,,,"6,835,467","3,791,435","467,300,114",4,17,,$0.00,$0.00,$0.00,89.9%
Top 25 Totals,Cost,2021,Generic,Medi-Cal,,,,"2,841,382","1,690,207","139,638,095",25,2,,$0.00,$0.00,$0.00,100.0%
Top 25 Totals,Cost,2021,Generic,Medicare,,,,"3,447,828","1,035,038","304,053,226",1,69,,$3.00,$0.43,$10.00,20.7%
Top 25 Totals,Cost,2021,Generic,All Payers ,,,,"11,295,294","6,088,443","736,598,430",3,23,,$0.00,$0.00,$0.00,82.1%
Top 25 Totals,Cost,2021,Generic,All Payers W/O Medi-Cal,,,,"7,995,161","4,172,481","641,286,300",3,32,,$0.00,$0.00,$1.30,73.5%
Top 25 Totals,Cost,2021,All,Commercial,,,,"3,203,055","1,315,490","3,862,122,146",83,15,,$0.00,$0.00,$0.00,81.3%
Top 25 Totals,Cost,2021,All,Medi-Cal,,,,"2,522,076","1,168,087","1,861,880,519",42,18,,$0.00,$0.00,$0.00,100.0%
Top 25 Totals,Cost,2021,All,Medicare,,,,"4,026,434","763,122","4,539,835,783",16,70,,$13.33,$1.33,$47.00,10.6%
Top 25 Totals,Cost,2021,All,All Payers ,,,,"4,856,316","889,668","8,734,155,896",35,51,,$20.00,$1.33,$48.56,15.2%
Top 25 Totals,Cost,2021,All,All Payers W/O Medi-Cal,,,,"4,619,143","836,334","7,838,290,244",33,51,,$20.95,$2.67,$53.35,9.4%
Top 25 Totals,Cost,2022,Biologic,Commercial,,,,"1,134,323","285,185","3,231,570,022",244,12,,$7.20,$0.00,$30.00,46.0%
Top 25 Totals,Cost,2022,Biologic,Medi-Cal,,,,"1,210,401","204,332","1,992,066,203",123,13,,$0.00,$0.00,$0.00,100.0%
Top 25 Totals,Cost,2022,Biologic,Medicare,,,,"2,086,309","579,227","2,397,888,154",66,17,,$8.21,$1.33,$42.00,17.3%
Top 25 Totals,Cost,2022,Biologic,All Payers ,,,,"4,626,051","1,135,323","7,282,711,443",107,15,,$1.33,$0.00,$30.00,46.5%
Top 25 Totals,Cost,2022,Biologic,All Payers W/O Medi-Cal,,,,"3,113,215","847,615","5,459,676,091",117,15,,$10.93,$0.00,$40.00,25.6%
Top 25 Totals,Cost,2022,Biosimilar,Commercial,,,,"33,811","9,041","29,666,274",97,9,,$20.00,$0.14,$35.00,17.4%
Top 25 Totals,Cost,2022,Biosimilar,Medi-Cal,,,,"62,486","18,840","40,252,761",53,12,,$0.00,$0.00,$0.00,100.0%
Top 25 Totals,Cost,2022,Biosimilar,Medicare,,,,"22,764","6,689","33,191,644",194,8,,$1.35,$0.00,$47.57,37.7%
Top 25 Totals,Cost,2022,Biosimilar,All Payers ,,,,"130,414","37,959","110,161,997",82,10,,$0.00,$0.00,$15.00,61.2%
Top 25 Totals,Cost,2022,Biosimilar,All Payers W/O Medi-Cal,,,,"44,056","12,252","59,811,924",239,6,,$20.00,$1.35,$88.94,18.5%
Top 25 Totals,Cost,2022,Brand,Commercial,,,,"1,487,438","274,362","2,712,624,305",45,41,,$25.00,$15.00,$45.00,6.2%
Top 25 Totals,Cost,2022,Brand,Medi-Cal,,,,"2,684,679","870,694","2,582,164,172",28,34,,$0.00,$0.00,$0.00,100.0%
Top 25 Totals,Cost,2022,Brand,Medicare,,,,"4,004,664","795,292","4,685,711,923",15,78,,$15.00,$1.33,$47.00,11.4%
Top 25 Totals,Cost,2022,Brand,All Payers ,,,,"6,098,746","1,200,436","9,159,189,221",27,56,,$9.17,$0.00,$40.00,30.2%
Top 25 Totals,Cost,2022,Brand,All Payers W/O Medi-Cal,,,,"9,334,873","2,855,595","3,776,167,076",5,82,,$20.00,$1.71,$47.00,10.4%
Top 25 Totals,Cost,2022,Generic,Commercial,,,,"3,998,300","2,624,397","306,567,288",5,14,,$0.00,$0.00,$5.00,72.1%
Top 25 Totals,Cost,2022,Generic,Medi-Cal,,,,"4,950,820","1,840,402","463,683,135",3,32,,$0.00,$0.00,$0.00,100.0%
Top 25 Totals,Cost,2022,Generic,Medicare,,,,"3,163,977","1,008,970","333,818,861",2,64,,$1.67,$0.00,$7.50,25.1%
Top 25 Totals,Cost,2022,Generic,All Payers ,,,,"9,180,001","3,989,050","829,303,308",3,29,,$0.00,$0.00,$9.14,51.6%
Top 25 Totals,Cost,2022,Generic,All Payers W/O Medi-Cal,,,,"6,316,604","3,389,101","535,063,357",3,28,,$0.00,$0.00,$10.00,50.4%
Top 25 Totals,Cost,2022,All,Commercial,,,,"1,600,025","281,656","4,626,366,164",91,32,,$25.00,$15.00,$55.00,6.1%
Top 25 Totals,Cost,2022,All,Medi-Cal,,,,"3,046,924","881,236","3,350,160,853",54,20,,$0.00,$0.00,$0.00,100.0%
Top 25 Totals,Cost,2022,All,Medicare,,,,"4,285,955","783,943","5,193,341,850",18,66,,$10.00,$1.33,$47.00,13.1%
Top 25 Totals,Cost,2022,All,All Payers ,,,,"7,132,325","1,255,492","12,011,627,753",39,43,,$4.00,$0.00,$40.00,33.2%
Top 25 Totals,Cost,2022,All,All Payers W/O Medi-Cal,,,,"5,553,928","999,177","9,016,259,384",33,49,,$20.00,$2.00,$50.00,10.7%
